file,confidence,line_no,line_content,音标,词性+翻译,页码,单元
0-1-1.png,1,2,unit,'ju:nit, n.单元,p.1,Starter Unit 1
0-1-1.png,1,4,starter unit,,过渡单元,p.1,Starter Unit 1
0-1-1.png,1,6,section ,'sekfn, n.部分；地区,p.1,Starter Unit 1
0-1-1.png,1,8,greet,gri:t,v.招呼；问候,p.1,Starter Unit 1
0-1-1.png,1,10,each ,i:tf, adj. & pron.每个；各自,p.2,Starter Unit 1
0-1-1.png,1,12,other ,'voe(r),pron.另外的人（或物）adj.另外的；其他的,p.2,Starter Unit 1
0-1-1.png,1,15,each other ,,互相；彼此,p.2,Starter Unit 1
0-1-1.png,1,17,oh ,ou, interj. 哦；啊,p.2,Starter Unit 1
0-1-1.png,1,19,everyone ,'evriwvn,pron.每人；所有人,p.2,Starter Unit 1
0-1-1.png,1,22,start,sta:t,v.开始；着手,p.4,Starter Unit 1
0-1-1.png,1,24,conversation,",konve'seifn",n.谈话；交谈,p.4,Starter Unit 1
0-1-1.png,1,27,spell ,spel, v.用字母拼；拼写,p.4,Starter Unit 1
0-1-1.png,1,29,bell,bel,n.铃（声）；钟（声）,p.4,Starter Unit 1
0-1-1.png,1,31,Helen ,'helon,海伦,p.1,Starter Unit 1
0-1-1.png,1,33,Ella ,'ele,埃拉,p.1,Starter Unit 1
0-1-1.png,1,35,Emma,'eme,埃玛,p.1,Starter Unit 1
0-1-1.png,1,37,Peter ,'pi:te(r),彼得,p.1,Starter Unit 1
0-1-1.png,1,39,Brown ,braun,布朗,p.2,Starter Unit 1
0-1-1.png,1,41,PRC,",pi: a:(r) 'si:",中华人民共和国,p.3,Starter Unit 1
0-1-1.png,1,43,PLA,",pi:el 'er",中国人民解放军,p.3,Starter Unit 1
0-1-1.png,1,45,VR,",vi: 'a:(r)",虚拟现实,p.3,Starter Unit 1
0-1-1.png,1,47,WHO,",dvblju:eitf'eu",世界卫生组织,p.3,Starter Unit 1
0-1-1.png,1,49,UN,ju: 'en,联合国,p.3,Starter Unit 1
0-1-1.png,1,51,Miller ,'mile(r),米勒,p.4,Starter Unit 1
0-2-3-1-1.png,1,2,bottle,'botl,n.瓶子,p.7,Starter Unit 2
0-2-3-1-1.png,1,4,eraser ,i'reize(r), n. 橡皮,p.7,Starter Unit 2
0-2-3-1-1.png,1,6,key,ki:,n.钥匙；关键,p.7,Starter Unit 2
0-2-3-1-1.png,1,8,thing,0m, n.东西；事情,p.10,Starter Unit 2
0-2-3-1-1.png,1,10,need,ni:d,v.& n.需要,p.10,Starter Unit 2
0-2-3-1-1.png,1,12,You're welcome. ,,别客气；不用谢。,p.11,Starter Unit 2
0-2-3-1-1.png,1,15,fun ,fvn, n.乐趣；快乐adj.有趣的；使人快乐的,p.13,Starter Unit 3
0-2-3-1-1.png,1,18,yard ,ja:d, n. 院子；园圃,p.13,Starter Unit 3
0-2-3-1-1.png,1,20,carrot ,'kaeret, n.胡萝卜,p.13,Starter Unit 3
0-2-3-1-1.png,1,22,goose,gu:s .(pl geese is),鹅,p.14,Starter Unit 3
0-2-3-1-1.png,1,24,count ,kaunt, v. 数数,p.16,Starter Unit 3
0-2-3-1-1.png,1,26,another ,o'naoo(r), adj. & pron.另一；又一（人或事物）,p.16,Starter Unit 3
0-2-3-1-1.png,1,29,else ,els, adv. 其他的；别的,p.17,Starter Unit 3
0-2-3-1-1.png,1,31,circle,'s3:kl,v.圈出n.圆形；圆圈,p.17,Starter Unit 3
0-2-3-1-1.png,1,33,look at,,看；瞧,p.17,Starter Unit 3
0-2-3-1-1.png,1,36,make friends ,,交朋友,p.19,Unit 1
0-2-3-1-1.png,1,38,get to know ,,认识；了解,p.20,Unit 1
0-2-3-1-1.png,1,40,full ,fol, adj.完整的；满的,p.20,Unit 1
0-2-3-1-1.png,1,42,ful name ,,全名,p.20,Unit 1
0-2-3-1-1.png,1,44,grade,greid,n.年级；等级,p.20,Unit 1
0-2-3-1-1.png,1,46,last name ,,姓氏,p.20,Unit 1
0-2-3-1-1.png,1,48,classmate,'kla:smeit, n.同班同学,p.21,Unit 1
0-2-3-1-1.png,1,50,class teacher,, 班主任,p.21,Unit 1
1-2.png,1,1,first name ,,名字,p.21,Unit 1
1-2.png,1,3,mistake ,mi'steik,n.错误；失误,p.21,Unit 1
1-2.png,1,5,country,'kvntri,n.国家,p.22,Unit 1
1-2.png,1,7,same ,seim, adj. 相同的,p.23,Unit 1
1-2.png,1,9,twin,twm,n. 双胞胎之一adj. 双胞胎之一的,p.23,Unit 1
1-2.png,1,12,both ,beu0, adj.& pron.两个；两个都,p.23,Unit 1
1-2.png,1,15,band ,baend, n.乐队,p.23,Unit 1
1-2.png,1,17,pot,pot, n.锅,p.23,Unit 1
1-2.png,1,19,a lot,,很；非常,p.23,Unit 1
1-2.png,1,21,tofu,'teufu:,n.豆腐,p.23,Unit 1
1-2.png,1,23,parrot ,'paeret, n.鹦鹉,p.24,Unit 1
1-2.png,1,25,guitar ,gr'ta:(r),n.吉他,p.24,Unit 1
1-2.png,1,27,tennis ,'tenis,n.网球运动,p.24,Unit 1
1-2.png,1,29,page,peid3,n.页面；（书刊或纸张）页,p.24,Unit 1
1-2.png,1,31,even ,'i:vn, adv.甚至；连；愈加,p.24,Unit 1
1-2.png,1,33,hey ,hei, interj.嘿；喂,p.24,Unit 1
1-2.png,1,35,play the guitar ,,弹吉他,p.24,Unit 1
1-2.png,1,37,would ,wud;wod, modal v.想(用于礼貌地邀请或向某人提供某物)；将会,p.24,Unit 1
1-2.png,1,41,would ('d) like to ,,表示愿意、喜欢,p.24,Unit 1
1-2.png,1,43,information,",infe'meifn",n.信息；消息,p.25,Unit 1
1-2.png,1,46,hobby,'hobi,n.业余爱好,p.25,Unit 1
1-2.png,1,48,re,ri:,prep.(用于回复电子邮件)关于；事由,p.25,Unit 1
1-2.png,1,51,Green,gri:n,格林,p.20,Unit 1
1-2.png,1,53,UK,",ju: 'kei",英国,p.20,Unit 1
1-2.png,1,55,US,ju: 'es,美国,p.20,Unit 1
1-2.png,1,57,Smith ,smr0,史密斯,p.20,Unit 1
1-2.png,1,59,Lisa ,'li:se,莉萨,p.23,Unit 1
1-3-2-1.png,1,1,Tom,tom,汤姆,p.23,Unit 1
1-3-2-1.png,1,3,hot pot ,,火锅,p.23,Unit 1
1-3-2-1.png,1,5,Sally ,'saeli,萨莉,p.23,Unit 1
1-3-2-1.png,1,7,Wood,wud,伍德,p.23,Unit 1
1-3-2-1.png,1,9,Sydney,'sidni,悉尼（澳大利亚城市）,p.23,Unit 1
1-3-2-1.png,1,10,Australia ,p'streilie,澳大利亚,p.23,Unit 1
1-3-2-1.png,1,12,Mapo tofu ,,麻婆豆腐,p.23,Unit 1
1-3-2-1.png,1,14,Beijing roast ,reust, duck北京烤鸭,p.24,Unit 1
1-3-2-1.png,1,17,Singapore,",sine'po:(r)",新加坡,p.24,Unit 1
1-3-2-1.png,1,19,the Great Wall,,长城,p.24,Unit 1
1-3-2-1.png,1,21,Pauline ,po:'li:n,保利娜,p.24,Unit 1
1-3-2-1.png,1,23,Lee ,li:,李,p.24,Unit 1
1-3-2-1.png,1,25,Coco,'koukeu,科科,p.24,Unit 1
1-3-2-1.png,1,27,London,'lvnden,伦敦（英国首都）,p.24,Unit 1
1-3-2-1.png,1,30,mean,mi:n,v.意思是；打算,p.27,Unit 2
1-3-2-1.png,1,32,husband,'hvzbend,n.丈夫,p.28,Unit 2
1-3-2-1.png,1,34,bat ,baet,n.球棒；球拍,p.29,Unit 2
1-3-2-1.png,1,36,ping-pong bat,,乒乓球拍,p.29,Unit 2
1-3-2-1.png,1,38,play ping-pong ,,打乒乓球,p.29,Unit 2
1-3-2-1.png,1,40,together ,te'gede(r),adv.在一起；共同,p.29,Unit 2
1-3-2-1.png,1,43,every day ,,每天,p.29,Unit 2
1-3-2-1.png,1,45,fishing rod ,rod,钓竿,p.29,Unit 2
1-3-2-1.png,1,47,spend,spend,v.花（时间、钱等）,p.29,Unit 2
1-3-2-1.png,1,49,a lot of ,,大量；许多,p.29,Unit 2
1-3-2-1.png,1,51,really,'ri:oli,adv.非常；确实；真正地 ,p.29,Unit 2
1-3-2-1.png,1,52,member,'membe(r),n.成员；会员,p.30,Unit 2
1-3-2-1.png,1,54,activity,aek'tiveti, n.活动,p.30,Unit 2
1-3-2-1.png,1,56,chess ,tfes, n.国际象棋,p.30,Unit 2
1-3-2-1.png,1,58,Chinese chess,,中国象棋,p.30,Unit 2
2-2.png,1,1,grandparent,'graenpeoront,n.祖父（母）；外祖父（母）,p.31,Unit 2
2-2.png,1,4,funny ,'fvni, adj.好笑的；奇怪的,p.31,Unit 2
2-2.png,1,6,laugh,la:f,v.笑；发笑n.笑声,p.31,Unit 2
2-2.png,1,8,different ,'difrent, adj.不同的,p.31,Unit 2
2-2.png,1,10,violin,",vaie'lm", n.小提琴,p.31,Unit 2
2-2.png,1,12,have fun,, 玩得高兴,p.31,Unit 2
2-2.png,1,14,hat ,haet, n. 帽子,p.32,Unit 2
2-2.png,1,16,handsome ,'haensom, adj.英俊的,p.32,Unit 2
2-2.png,1,18,knee ,ni:, n.膝；膝盖,p.32,Unit 2
2-2.png,1,20,at night ,,在夜晚,p.32,Unit 2
2-2.png,1,22,in the middle ,,在中间,p.32,Unit 2
2-2.png,1,24,grandchild ,'graentfaild,"n.(pl. grandchildren 'graen,tfildren )(外)孙子；（外）孙女",p.32,Unit 2
2-2.png,1,28,son ,svn, n. 儿子,p.33,Unit 2
2-2.png,1,30,hike ,hark, v.& n.远足；徒步旅行,p.33,Unit 2
2-2.png,1,32,go hiking ,,远足；徒步旅行,p.33,Unit 2
2-2.png,1,34,next to ,,紧邻；在·近旁,p.33,Unit 2
2-2.png,1,36,David ,'deivid,戴维,p.28,Unit 2
2-2.png,1,38,Jim,d3im,吉姆,p.28,Unit 2
2-2.png,1,40,Kate ,keit,凯特,p.31,Unit 2
